,show,theatre,weekly_gross,avg_ticket_price,pct_capacity,avg_ticket_price_cpi,weekly_gross_cpi,cpi,performances,days_diff
0,"""Master Harold""...and the Boys",Royale Theatre,227629.5,40.57000000000001,0.6478599999999999,56.06652108847197,314543.669790431,193.05,4.9,0.0
1,"'night, Mother",Royale Theatre,167623.33333333334,52.46999999999999,0.39946666666666664,70.53897046821308,225346.8618864865,198.44999999999996,5.416666666666667,0.0
2,110 in the Shade,Studio 54,323082.125,50.618125,0.8436437499999999,64.21284126711396,409777.0742262301,210.30662500000003,5.875,0.0
3,13,Bernard B. Jacobs Theatre,277273.0625,58.883125,0.5487625,72.42458333146277,340978.40672065574,216.89743750000008,6.5625,0.0
4,1776,Gershwin Theatre,297125.847826087,40.4645652173913,0.7918021739130439,63.027709047552136,461804.8838123092,171.40652173913034,7.239130434782608,0.0
5,1984,Hudson Theatre,326658.100952381,61.16190476190476,0.7138857142857142,64.66686458530205,345380.12079779105,252.3101428571428,5.9523809523809526,0.0
6,3 from Brooklyn,Helen Hayes Theatre,30583.0,22.551428571428573,0.3527571428571429,40.25744274570053,54612.59271778234,149.42857142857142,6.428571428571429,0.0
7,33 Variations,Eugene O'Neill Theatre,292020.13333333336,62.68266666666668,0.5699866666666666,76.536689486489,356573.53429753805,218.48593333333332,5.666666666666667,0.0
8,42nd Street,Ford Center for the Performing Arts,678668.25,59.27913265306122,0.7865030612244899,82.38792145629091,943767.9659040099,192.1403061224492,7.775510204081633,0.0
9,42nd Street,St. James Theatre,240606.3829787234,30.15840425531915,0.6161962765957445,68.86379832528611,550727.186415159,117.20904255319151,8.0,0.0
10,45 Seconds from Broadway,Richard Rodgers Theatre,295374.6923076923,40.23846153846154,0.6652461538461539,57.04067120046899,418778.6532113381,188.2,5.615384615384615,0.0
11,700 Sundays,Broadhurst Theatre,747391.551724138,99.90068965517241,0.9997517241379311,133.55240187590792,999188.6801173987,199.53448275862073,5.620689655172414,0.0
12,700 Sundays,Imperial Theatre,1150535.7777777778,148.37,0.8980111111111112,167.9757585656588,1302589.289522096,235.64811111111112,5.111111111111111,0.0
13,9 to 5,Marquis Theatre,692336.8636363636,69.74318181818181,0.7998727272727273,84.89334715163274,842818.363413747,219.1608181818182,6.7272727272727275,0.0
14,A Behanding in Spokane,Gerald Schoenfeld Theatre,456500.9375,71.84375,0.7453000000000001,86.78149048644343,551431.9285871593,220.867875,6.75,0.0
15,A Bronx Tale,Walter Kerr Theatre,232770.09523809524,59.350476190476186,0.5517666666666665,74.25857353038984,291217.8240273218,213.12514285714292,5.285714285714286,0.0
16,A Bronx Tale The Musical,Longacre Theatre,746988.7873913038,100.18391304347828,0.8986597826086953,105.54971767796881,787130.1967821456,253.45344565217383,7.608695652173913,0.0
17,A Catered Affair,Walter Kerr Theatre,358515.1666666667,67.05999999999999,0.7285,83.15802709913993,444646.3938357455,215.188,6.444444444444445,0.0
18,A Change in the Heir,Edison Theatre,17151.4,10.162,0.41697999999999996,20.215137264347902,34127.05421906095,134.16,4.6,0.0
19,A Chorus Line,Gerald Schoenfeld Theatre,545400.21,76.94219999999999,0.8024809999999998,97.19915204156464,689938.139471919,211.68028999999999,7.59,0.0
20,A Chorus Line,Sam S. Shubert Theatre,203619.3843137255,29.541647058823525,0.5832803921568633,65.5228222582145,452851.43783564493,120.6211764705882,8.0,0.0
21,A Christmas Carol,Broadhurst Theatre,387670.3333333333,40.160000000000004,0.8765000000000001,71.5403086580129,690584.2146205413,149.76666666666665,7.333333333333333,0.0
22,A Christmas Carol,Eugene O'Neill Theatre,311164.0,37.51,0.9414,69.1601966136835,573718.0330338632,144.7,7.0,0.0
23,A Christmas Carol,Lyceum Theatre,588514.87,102.60666666666665,0.8138222222222222,102.98165301206046,590638.0723868337,265.7932222222222,6.333333333333333,0.0
24,A Christmas Carol,Marquis Theatre,819397.0,68.25,0.9379,96.64946257961783,1160355.7463641188,188.4,8.0,0.0
25,A Christmas Carol,Richard Rodgers Theatre,442191.3333333333,45.47,0.9868333333333333,76.40667046759928,743059.0937185982,158.76666666666668,6.0,0.0
26,"A Christmas Story, The Musical",Lunt-Fontanne Theatre,1079193.375,94.0925,0.8903125,108.38395677374365,1243037.8494235803,231.57687499999997,6.375,0.0
27,A Class Act,Ambassador Theatre,150491.88235294117,38.29588235294118,0.46177647058823534,55.19510132622042,216984.40507013837,185.0764705882353,6.176470588235294,0.0
28,A Day in the Death of Joe Egg,American Airlines Theatre,239539.75,45.175000000000004,0.9180166666666668,62.549805516541646,331643.748245117,192.67500000000004,5.75,0.0
29,A Delicate Balance,John Golden Theatre,686235.7222222222,124.3527777777778,0.85035,138.42118915632116,763977.4690738048,239.70827777777782,6.0,0.0
30,A Delicate Balance,Plymouth Theatre,224679.44444444444,31.58629629629629,0.8346185185185185,50.88678118111947,361993.8283957924,165.52222222222224,6.851851851851852,0.0
